--- PAGE 1 ---
Temario General. Grupo (C2) 
V.26.06.25 Página 47 
RESPUESTAS 
 
PREG RESP PREG RESP PREG RESP PREG RESP PREG RESP 
1 A 45 A 89 C 133 A 177 A 
2 D 46 B 90 B 134 A 178 B 
3 C 47 C 91 B 135 A 179 B 
4 D 48 A 92 A 136 D 180 C 
5 B 49 D 93 B 137 B 181 A 
6 C 50 C 94 C 138 B 182 C 
7 B 51 D 95 C 139 B 183 A 
8 D 52 D 96 B 140 C 184 D 
9 A 53 C 97 A 141 C 185 C 
10 D 54 C 98 B 142 A 186 C 
11 D 55 A 99 A 143 D 187 C 
12 B 56 C 100 B 144 B 188 D 
13 A 57 B 101 D 145 D 189 C 
14 C 58 D 102 A 146 D 190 C 
15 C 59 D 103 B 147 C 191 D 
16 B 60 A 104 B 148 D 192 C 
17 C 61 C 105 B 149 B 193 B 
18 B 62 C 106 B 150 A 194 A 
19 B 63 D 107 A 151 C 195 C 
20 B 64 A 108 C 152 B 196 B 
21 A 65 B 109 D 153 B 197 A 
22 A 66 B 110 C 154 B 198 A 
23 D 67 B 111 B 155 A 199 C 
24 C 68 D 112 A 156 A 200 D 
25 D 69 C 113 C 157 D 201 D 
26 A 70 D 114 B 158 C 202 D 
27 C 71 A 115 A 159 D 203 A 
28 C 72 C 116 D 160 D 204 D 
29 D 73 D 117 C 161 A 205 B 
30 A 74 B 118 B 162 C 206 B 
31 C 75 D 119 A 163 C 207 B 
32 A 76 B 120 B 164 B 208 A 
33 D 77 A 121 C 165 B 209 C 
34 B 78 B 122 C 166 D 210 A 
35 B 79 A 123 A 167 D 211 C 
36 A 80 B 124 B 168 A 212 D 
37 C 81 A 125 D 169 C 213 A 
38 B 82 C 126 B 170 A 214 B 
39 D 83 A 127 A 171 D 215 A 
40 D 84 A 128 D 172 B 216 C 
41 B 85 B 129 C 173 C   
42 B 86 A 130 B 174 B   
43 A 87 B 131 A 175 C   
44 B 88 D 132 D 176 D   
 
